dataset_name;projection_name;n_components;trustworthiness;continuity;shepard_correlation;normalized_stress
Concrete;NMF;3;0.95706487;0.98116698;0.70530058;0.65921809
Concrete;NPE;2;0.77128688;0.88019053;0.41535864;0.93197479
Concrete;NPE;3;0.83457892;0.93780841;0.50840522;0.91128327
Concrete;PCA;2;0.94026846;0.98382372;0.74361334;0.14784780
Concrete;PCA;3;0.97783541;0.99256947;0.86278521;0.06143552
Concrete;S-PCA;2;0.95440391;0.97786250;0.71361490;0.16534176
Concrete;S-PCA;3;0.97201085;0.98950727;0.81183485;0.07866679
Concrete;S-RP;2;0.87526416;0.95804881;0.58916662;0.16281809
Concrete;S-RP;3;0.92206482;0.98076273;0.57806932;0.13736858
Concrete;SPE;2;0.88103455;0.93487428;0.82065668;0.13280824
Concrete;SPE;3;0.96585132;0.98430922;0.91547193;0.09517115
Concrete;T-SVD;2;0.89370817;0.97368582;0.64406848;0.29115437
Concrete;T-SVD;3;0.95551457;0.98754742;0.75207527;0.14028735
Concrete;TSNE;2;0.99790649;0.99468653;0.56258847;1232.81291395
Concrete;TSNE;3;0.99824758;0.99692622;0.50875286;1221.84346662
Concrete;UMAP;2;0.99525261;0.99439281;0.52269208;165.10865386
Concrete;UMAP;3;0.99590308;0.99607377;0.53705280;178.97656923
Defaultcc;AE;2;0.96765664;0.97312634;0.50142392;27.22921094
Defaultcc;AE;3;0.98941559;0.98666233;0.48820352;10.03340583
Defaultcc;F-ICA;2;0.89178397;0.97214788;0.82569776;0.97642657
Defaultcc;F-ICA;3;0.93719754;0.99269384;0.81025054;0.97076984
Defaultcc;FA;2;0.65998186;0.95016078;0.34727035;1.94607087
Defaultcc;FA;3;0.66758997;0.93014754;0.32086166;3.31373070
Defaultcc;G-RP;2;0.83018227;0.97540709;0.80674341;0.13893598
Defaultcc;G-RP;3;0.90989207;0.99055340;0.86025978;0.05743132
Defaultcc;H-LLE;2;0.80442524;0.93963694;0.72467689;0.99562418
Defaultcc;H-LLE;3;0.91128624;0.97636635;0.73357091;0.99581778
Defaultcc;I-PCA;2;0.89783280;0.97356287;0.88716054;0.08903640
Defaultcc;I-PCA;3;0.94606461;0.99290391;0.93650145;0.03825600
Defaultcc;ISO;2;0.88375130;0.97089512;0.17330631;1.46576264
Defaultcc;ISO;3;0.92691408;0.98987909;0.20322291;1.83002584
Defaultcc;K-PCA-P;2;0.90375016;0.97504587;0.89269084;0.48637870
Defaultcc;K-PCA-P;3;0.94830272;0.99300013;0.93863681;0.44518455
Defaultcc;K-PCA-R;2;0.89179119;0.97397720;0.88087500;0.59415686
Defaultcc;K-PCA-R;3;0.94807437;0.99291935;0.93184511;0.56017318
Defaultcc;K-PCA-S;2;0.88714472;0.97548857;0.88155927;0.80421923
Defaultcc;K-PCA-S;3;0.95322570;0.99297445;0.93073823;0.78700629
Defaultcc;L-LTSA;2;0.55046498;0.71306111;0.08969711;0.99324024
Defaultcc;L-LTSA;3;0.57292654;0.71779878;0.08459650;0.99182029
Defaultcc;L-MDS;2;0.88898836;0.97348363;0.88787211;0.08953953
Defaultcc;L-MDS;3;0.94332068;0.99285988;0.93600057;0.03842487
Defaultcc;LLE;2;0.86123985;0.94493461;0.12390093;0.99034335
Defaultcc;LLE;3;0.91599974;0.94955507;0.14595310;0.98737550
Defaultcc;LPP;2;0.85401783;0.87188047;0.83714206;0.99737158
Defaultcc;LPP;3;0.86158650;0.94364825;0.84707223;0.99725425
Defaultcc;LTSA;2;0.78541006;0.70060544;0.05196174;0.99918850
Defaultcc;LTSA;3;0.78203769;0.60168220;0.01781868;0.99904176
Defaultcc;M-LLE;2;0.88527879;0.97845297;0.77194651;0.98691069
Defaultcc;M-LLE;3;0.94213337;0.95214114;0.68232667;0.99880694
Defaultcc;NMF;2;0.88257266;0.96995671;0.81890598;0.82893505
Defaultcc;NMF;3;0.92137701;0.98935513;0.87620405;0.85684609
Defaultcc;NPE;2;0.86856955;0.97372734;0.79412855;0.98752786
Defaultcc;NPE;3;0.92816639;0.97336794;0.83362510;0.98375368
Defaultcc;PCA;2;0.89308191;0.97373895;0.88780452;0.08926092
Defaultcc;PCA;3;0.94528885;0.99286474;0.93574629;0.03846057
Defaultcc;S-PCA;2;0.90361790;0.97301056;0.88721499;0.09279749
Defaultcc;S-PCA;3;0.94025292;0.99241760;0.93358417;0.04133848
Defaultcc;S-RP;2;0.93955014;0.98175674;0.78757687;0.26160618
Defaultcc;S-RP;3;0.94662111;0.98847534;0.80541355;0.10092322
Defaultcc;T-SVD;2;0.88646353;0.97293131;0.85379428;0.11842714
Defaultcc;T-SVD;3;0.90934845;0.99099391;0.91381988;0.05771885
Defaultcc;TSNE;2;0.99771055;0.99454994;0.46791161;2453.26624182
Defaultcc;TSNE;3;0.99874452;0.99583166;0.48203013;2406.53145086
Defaultcc;UMAP;2;0.98892488;0.99666167;0.68426833;175.91633774
Defaultcc;UMAP;3;0.99522296;0.99766139;0.69757462;142.66020312
Reuters;AE;2;0.93257608;0.88722376;0.60704125;84.41363846
Reuters;AE;3;0.94513064;0.92167340;0.56930941;93.86549377
Reuters;DM;2;0.80341616;0.81443697;0.69967312;0.90889524
Reuters;DM;3;0.82915645;0.81864396;0.69411918;0.90862389
Reuters;F-ICA;2;0.80447106;0.83773286;0.68616425;0.97310283
Reuters;F-ICA;3;0.84769046;0.87261341;0.58656922;0.96547551
Reuters;FA;2;0.82062351;0.88889710;0.56588989;0.56496054
